Jaar,Maand,Aflossing,Rente,Hypotheekrenteaftrek,Rentenetto,Eigenwoningforfaitbelasting,Onderhoudskosten,Lasten,Oudehuur,Restschuld,Voordeelnukopenipvaltijdhuren,Voordeelnukopenipvvoorlopighuren,Wozwaarde
0,0,807,436,187,248,66,300,1421,1100,362193,-10534,486,320000
0,1,808,435,187,248,66,300,1421,1100,361386,-10048,972,320000
0,2,809,434,187,247,66,300,1422,1100,360577,-9561,1459,320000
0,3,810,433,186,247,66,300,1422,1100,359767,-9074,1946,320000
0,4,811,432,186,246,66,300,1423,1100,358957,-8586,2434,320000
0,5,812,431,185,246,66,300,1423,1100,358145,-8098,2922,320000
0,6,813,430,185,245,66,300,1424,1100,357333,-7609,3411,320000
0,7,814,429,184,244,66,300,1424,1100,356519,-7119,3901,320000
0,8,814,428,184,244,66,300,1424,1100,355705,-6629,4391,320000
0,9,815,427,184,243,66,300,1425,1100,354889,-6139,4881,320000
0,10,816,426,183,243,66,300,1425,1100,354073,-5648,5372,320000
0,11,817,425,183,242,66,300,1426,1100,353255,-5156,5864,320000
1,0,818,424,170,254,68,306,1447,1133,352437,-4651,6369,329600
1,1,819,423,169,254,68,306,1447,1133,351618,-4146,6874,329600
1,2,820,422,169,253,68,306,1448,1133,350797,-3640,7380,329600
1,3,821,421,168,253,68,306,1448,1133,349976,-3134,7886,329600
1,4,822,420,168,252,68,306,1448,1133,349154,-2627,8393,329600
1,5,823,419,168,251,68,306,1449,1133,348330,-2119,8901,329600
1,6,824,418,167,251,68,306,1449,1133,347506,-1611,9409,329600
1,7,825,417,167,250,68,306,1450,1133,346681,-1103,9917,329600
1,8,826,416,166,250,68,306,1450,1133,345854,-593,10427,329600
1,9,827,415,166,249,68,306,1450,1133,345027,-83,10937,329600
1,10,828,414,166,248,68,306,1451,1133,344199,427,11447,329600
1,11,829,413,165,248,68,306,1451,1133,343369,938,11958,329600
2,0,830,412,153,259,63,312,1465,1167,342539,1471,12491,339488
2,1,831,411,153,259,63,312,1465,1167,341708,2004,13024,339488
2,2,832,410,152,258,63,312,1465,1167,340876,2538,13558,339488
2,3,833,409,152,257,63,312,1466,1167,340042,3072,14092,339488
2,4,834,408,151,257,63,312,1466,1167,339208,3608,14628,339488
2,5,835,407,151,256,63,312,1467,1167,338373,4143,15163,339488
2,6,836,406,151,255,63,312,1467,1167,337537,4680,15700,339488
2,7,837,405,150,255,63,312,1467,1167,336699,5217,16237,339488
2,8,838,404,150,254,63,312,1468,1167,335861,5754,16774,339488
2,9,839,403,150,254,63,312,1468,1167,335022,6293,17313,339488
2,10,840,402,149,253,63,312,1468,1167,334182,6832,17852,339488
2,11,841,401,149,252,63,312,1469,1167,333340,7371,18391,339488
3,0,842,400,148,252,65,318,1477,1202,332498,7938,18958,349673
3,1,843,399,148,251,65,318,1478,1202,331655,8506,19526,349673
3,2,844,398,148,250,65,318,1478,1202,330810,9074,20094,349673
3,3,845,397,147,250,65,318,1478,1202,329965,9643,20663,349673
3,4,846,396,147,249,65,318,1479,1202,329119,10213,21233,349673
3,5,847,395,147,248,65,318,1479,1202,328271,10783,21803,349673
3,6,848,394,146,248,65,318,1480,1202,327423,11354,22374,349673
3,7,849,393,146,247,65,318,1480,1202,326573,11925,22945,349673
3,8,850,392,145,247,65,318,1480,1202,325723,12497,23517,349673
3,9,851,391,145,246,65,318,1481,1202,324872,13070,24090,349673
3,10,852,390,145,245,65,318,1481,1202,324019,13644,24664,349673
3,11,853,389,144,245,65,318,1481,1202,323166,14218,25238,349673
4,0,855,388,144,244,67,325,1490,1238,322311,14820,25840,360163
4,1,856,387,144,243,67,325,1490,1238,321455,15423,26443,360163
4,2,857,386,143,243,67,325,1491,1238,320599,16027,27047,360163
